TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,PIE,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,67,20,47,3256,107,114.4,-7.4,58.9,1.48,16.9,26.7,70.8,48.4,15.5,51.5,55.4,103.28,45.4,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,64,43,21,3097,112.3,106.2,6.1,55.4,1.67,16.6,28.4,73.2,50.9,13.6,52.9,56.7,99.78,53.1,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,64,30,34,3112,107.8,108.3,-0.6,60.2,1.55,17,28.4,73.7,51.4,15.1,51.5,55,101.51,50,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,65,23,42,3150,105.9,112.8,-7,63.9,1.63,17.7,28,70.6,48.6,15,50.4,53.9,96.24,45.5,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,65,22,43,3135,105.8,108.9,-3.1,58.7,1.5,16.9,26.7,71.9,48.1,15.3,51.5,54.7,100.46,46.6,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,65,19,46,3145,106.9,114.8,-7.9,57.3,1.4,16.8,29.6,73.8,51.2,16.5,52.2,55.3,99.17,45.3,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,67,40,27,3236,115.8,110,5.8,58.8,1.91,17.6,27.5,73.8,51,12.7,54.8,58.1,99.78,52.6,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,65,43,22,3150,112,108.9,3.1,63.4,1.94,19,29.4,72.8,51,13.9,53.2,56.4,97.66,52,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,66,20,46,3193,108.8,112.3,-3.5,61.2,1.58,17.7,27.7,71.7,49.3,15.5,52.9,56.1,97.86,47.3,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,65,15,50,3145,104.4,113,-8.6,66.3,1.72,18.2,25.5,72.2,48.1,14.6,49.7,54,101.04,46.2,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,64,40,24,3087,113.4,109.9,3.4,52.2,1.46,15.5,26.1,71.4,48.7,14.1,53.9,57.8,103.62,49.7,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,65,39,26,3140,109.7,107.7,2,61.5,1.98,18.9,24.6,72.1,49,13.2,53.3,56.5,99.05,51.9,,,,,,,,,,,,,,,,,,,,,,,
LA Clippers,64,44,20,3087,112.9,106.6,6.4,57.3,1.61,16.9,28.4,73.4,51.5,14.4,53.2,57.4,102.39,53.1,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,63,49,14,3034,112.6,105.5,7.1,60.3,1.71,18.3,28.4,73.4,51.4,14.9,54.8,57.7,101.11,54.9,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,65,32,33,3125,108.9,109.9,-1,63.2,1.77,18.8,27.4,73,50.7,14.8,53,56.1,103.26,50.8,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,65,41,24,3165,112.2,109.2,3,65.6,1.74,18.8,25.9,75.6,51.6,14.9,54.9,58.7,98.46,52.6,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,65,53,12,3130,112.3,101.6,10.7,59.5,1.74,18.1,24.1,77.6,52.4,14.1,55.3,58.3,105.36,56.8,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,64,19,45,3112,107.6,111.6,-4,59,1.55,16.7,26.4,73.1,48.8,14.6,51.4,55.1,103.94,47.2,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,64,28,36,3102,110.6,111.6,-1,63.3,1.66,18.4,28.8,73.1,50.9,15.4,53.8,56.7,103.96,49.7,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,66,21,45,3193,105.9,112.4,-6.5,55.2,1.54,16,30,74.2,51.3,14.3,50.1,53.1,99.11,46.1,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,64,40,24,3092,111,108.4,2.5,54.3,1.63,16.5,23.9,72.8,49.2,13.5,53.4,57.7,99.21,52.5,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,65,30,35,3125,107.5,108.7,-1.2,61.1,1.9,17.6,26.8,74.8,49.9,12.7,50.3,54,98.7,49.8,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,65,39,26,3135,109.7,107.6,2.1,63.4,1.82,18.6,27.8,75.4,51.5,14.2,53,56.2,99.38,52.5,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,65,26,39,3135,110.2,111.3,-1,66.6,1.8,19.1,26.1,72.8,49.4,14.8,52.8,57.2,101.76,50.4,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,66,29,37,3178,112,113.6,-1.5,48.2,1.55,15,26.3,71,49.1,12.8,53,56.6,101.15,48.3,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,64,28,36,3102,109,110.8,-1.7,58,1.62,17.3,25.6,73.5,49,14.4,53.1,56.3,99.08,47.8,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,63,27,36,3059,111.3,112.8,-1.5,58.4,2,17.9,22.8,75.1,49.1,12.1,52.9,56.9,100.6,49.8,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,64,46,18,3092,111.3,104.9,6.4,62.6,1.76,18.2,25.9,71.5,49.4,14.2,53.6,57.4,100.87,53.1,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,64,41,23,3077,112.1,108.8,3.3,55.2,1.49,16.7,25.8,74.7,51.2,15,55.2,58.7,98.95,51.8,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,64,24,40,3087,111.1,115,-3.9,60.4,1.8,17.8,26,70.8,47.6,13.5,52.8,56.8,103.52,47.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
